Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Cynisca,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|6BL|3YK4
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Cynisca|Cynisca leonina,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|3YK4|339H9
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Cynisca|Cynisca leucura,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|3YK4|339HB
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Cynisca|Cynisca liberiensis,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|3YK4|339HC
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Dalophia,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|6BL|3ZM8
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Geocalamus,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|6BL|4MVP
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Geocalamus|Geocalamus modestus,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|4MVP|3FNWH
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon,unranked|kingdom|phylum|class|order|family|genus,5T6MX|N|CH2|RP|45C|6BL|87GTW
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon infraorbitale,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3K
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon microcephalum,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3Q
Biota|Animalia|Chordata|Reptilia|Squamata|Amphisbaenidae|Leposternon|Leposternon octostegum,unranked|kingdom|phylum|class|order|family|genus|species,5T6MX|N|CH2|RP|45C|6BL|87GTW|88J3V
