Biota|Animalia|Arthropoda|Arachnida|Araneae|Theridiidae|Cabello,unranked|kingdom|phylum|subclass|order|family|genus,5T6MX|N|RT|RC|RN|H6N|62JR8
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Holcosus,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|4XVD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Holcosus|Holcosus bridgesii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|4XVD|3M7WT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Holcosus|Holcosus festivus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|4XVD|3M7WV
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Holcosus|Holcosus pulcher,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|4XVD|8924M
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Holcosus|Holcosus septemlineatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|4XVD|3M7X6
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Kentropyx,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|57XR
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Kentropyx|Kentropyx altamazonica,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|57XR|3R5LL
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Kentropyx|Kentropyx calcarata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|57XR|3R5LT
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Kentropyx|Kentropyx pelviceps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|57XR|3R5LY
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Kentropyx|Kentropyx striata,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|57XR|3R5LZ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Medopheos|Medopheos edracanthus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|5MJG|6QWF2
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis auberi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ6T
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis chrysolaemus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ6V
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis corvinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ6X
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis dorsalis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ6Y
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis exsul,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ72
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis lineolatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ75
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis major,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GSPC
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis plei,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ77
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis polops,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ79
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Pholidoscelis|Pholidoscelis taeniurus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|8G43N|8GQ7B
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Salvator,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|7BZZ
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Salvator|Salvator merianae,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|7BZZ|6XFSD
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Teius,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|7TD6
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Teius|Teius oculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|7TD6|5554P
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Teius|Teius teyou,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|7TD6|5554V
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Tupinambis,unranked|kingdom|phylum|class|order|superfamily|family|genus,5T6MX|N|CH2|RP|45C|8H5VG|GYH|83RB
Biota|Animalia|Chordata|Reptilia|Squamata|Gymnophthalmoidea|Teiidae|Tupinambis|Tupinambis teguixin,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|8H5VG|GYH|83RB|59M2Z
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania,unranked|kingdom|phylum|class|order|superfamily,5T6MX|N|CH2|RP|45C|87BW7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Agaminae|Agama|Agama cristata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|87BW7|64B|87CD2|QH8|65K3F
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Agaminae|Agama|Agama hispida,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|87BW7|64B|87CD2|QH8|65JQR
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Agaminae|Laudakia|Laudakia tuberculata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|87BW7|64B|87CD2|5BFF|3SM85
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Draconinae|Bronchocela|Bronchocela marmorata,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|87BW7|64B|87CGT|3DBX|NDHK
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Draconinae|Gonocephalus|Gonocephalus semperi,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus|species,5T6MX|N|CH2|RP|45C|87BW7|64B|87CGT|4Q89|3GY78
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Hydrosaurinae|Hydrosaurus,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|87BW7|64B|87CJ4|4ZVR
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Agamidae|Uromastycinae|Uromastyx,unranked|kingdom|phylum|class|order|superfamily|family|subfamily|genus,5T6MX|N|CH2|RP|45C|87BW7|64B|87CPS|859T
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Basiliscus|Basiliscus basiliscus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|62F79|68CY9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Basiliscus|Basiliscus galeritus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|62F79|68D9X
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Basiliscus|Basiliscus plumifrons,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|62F79|5WD9W
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Basiliscus|Basiliscus vittatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|62F79|68CY8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Laemanctus|Laemanctus longipes,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|59ZG|6NS44
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Corytophanidae|Laemanctus|Laemanctus serratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8LV|59ZG|6NS43
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Crotaphytidae|Crotaphytus|Crotaphytus collaris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8PN|3W85|6BJ77
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Crotaphytidae|Gambelia|Gambelia copeii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8PN|4LZY|3F7PS
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Crotaphytidae|Gambelia|Gambelia wislizenii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8PN|4LZY|3F7PZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis acutus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TZP
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis alutaceus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5LN
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis argenteolus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TM4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis auratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TLQ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis baleatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5LV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis beckeri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TM8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis bimaculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5M5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis binotatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675LT
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis biporcatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5M6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis bitectus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675KY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis bombiceps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5KW
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis callainus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|8H5LN
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis capito,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TMK
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis carolinensis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675MJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis chlorocyanus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5N4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis chrysolepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5N5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis concolor,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675N2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis crassulus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TMW
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis cristatellus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TN8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis cupreus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TN6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis cuvieri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675MV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis cybotes,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TLZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis cymbops,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675LZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis damulus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5M9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis distichus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675MD
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis equestris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5NL
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis fasciatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675NK
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis fraseri,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TNT
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis fuscoauratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5NS
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis gemmosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675NV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis gibbiceps,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TNW
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis gingivinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5MY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis grahami,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5ND
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis heterodermus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TNG
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis humilis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TP6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis impetigosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675P4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis insignis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TP9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis isolepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TPN
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis krugi,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|67623
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis laevis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TPS
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis laeviventris,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TQ4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis latifrons,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675Q4
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis leachii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5PP
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis lemurinus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5Q2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis limifrons,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675PQ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis lineatopus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675PV
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis lineatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675Q7
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis lionotus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5PW
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis loysiana,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V625
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis lucius,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TQ5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis marmoratus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5PY
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis microtus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5PJ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis nebuloides,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|6762M
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis nebulosus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V62N
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis oculatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5R5
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis onca,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675QT
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis ophiolepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|6762T
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis ortonii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V62Q
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis oxylophus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675R2
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis pachypus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|6762Q
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis pentaprion,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5QW
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis petersii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TR8
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis poecilopus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675R9
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis polylepis,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5R6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis porcatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|675R6
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis porcus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|67636
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis pulchellus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|67637
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis punctatus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V5QZ
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis quaggulus,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|66TQC
Biota|Animalia|Chordata|Reptilia|Squamata|Iguania|Dactyloidae|Anolis|Anolis richardii,unranked|kingdom|phylum|class|order|superfamily|family|genus|species,5T6MX|N|CH2|RP|45C|87BW7|8Y8|WQP|5V62B
